Name,ID,Address,Lat,Lng,Cuisine,District
Zum Standesämtchen,4c3b6d08def90f470beefd2d,Römerberg 23,50.11029634370422,8.682389458266762,DE,Altstadt
Wirtshaus am Hühnermarkt,5c180459a4b51b002c093a70,Markt 16-18,50.110777,8.684,DE,Altstadt
Frankfurter Wirtshaus,5b3225a7e65d0c002c94296b,Mainkai 35,50.10905,8.681975,DE,Altstadt
Max on One,4e9dc4dff5b95ad93faa8788,Thurn-und-Taxis-Platz 2,50.115109806797335,8.68023274613893,DE,Innenstadt
Heimat – Essen und Weine,4cfd2a882c1aa090410e057a,Berliner Str. 70,50.11112519116169,8.67828645020011,DE,Altstadt
Hermann´s,51e6e2f6498eb1a439046503,Am Hauptbahnhof,50.10641313398342,8.663329993459303,DE,Gallus
Best Worscht in Town,566c0cba498ec2bbb90fe3f7,Zeil 104,50.1145216094587,8.682585748403188,DE,Innenstadt
Luftikus,4c2c7ad4ae6820a1f9581943,Mainzer Landstr. 269,50.102695,8.64303,DE,Gallus
Frau Rauscher,52dad966498e1418f8517c52,Klappergasse 8,50.10533485338751,8.691548765958899,DE,Sachsenhausen-Nord
Emma Metzler,4b05884ef964a52062bd22e3,Schaumainkai 17,50.1059973188976,8.680665255219594,DE,Sachsenhausen-Nord
Fichtekränzi,4b0ecc66f964a5202f5b23e3,Wallstr. 5,50.104691819219454,8.688989910702192,DE,Sachsenhausen-Nord
Paulaner am Dom,4be18ea74ed5c9b61ba1ccce,Domplatz 6,50.11087627254253,8.685925175827979,DE,Altstadt
Wirtshaus im Ostend,598a1041c9a51708594f5db1,Rückertstr. 22,50.11038064720296,8.699898722481803,DE,Ostend
Zum Alten Schlagbaum,4f91a6c9e4b0ead198109182,,50.12778987568027,8.709979281223616,DE,Bornheim
Hessekopp,5bd2295082a750002c9c9c5a,An der Welle 4,50.11863,8.672417,DE,Westend-Süd
Apfelwein-Wirtschaft Fichtekränzi,5d545ae73c10d10008b4deb1,,50.104748,8.68916,DE,Sachsenhausen-Nord
Leib & Seele,4b2781a9f964a520fc8624e3,Kornmarkt 11,50.112252,8.679295,DE,Altstadt
Cafe Liebfrauenberg,4be42a2bcf200f471c8b113c,Liebfrauenberg 24,50.11263186961196,8.681821638422281,DE,Altstadt
Salzkammer,4c3e0c4783a3a593ef88ed33,Weißadlergasse 15,50.11155748285333,8.678301635336066,DE,Altstadt
Lokalbahnhof,4b2a822ef964a52087aa24e3,Darmstädter Landstr. 14,50.103075418174406,8.690308821751387,DE,Sachsenhausen-Nord
Römer Pils Brunnen,4b6ac454f964a52072df2be3,Töngesgasse 19,50.11345007437633,8.683873455170064,DE,Altstadt
Apfelwein Solzer,4b058851f964a5205fbe22e3,Berger Str. 260,50.12826433627976,8.711232199739797,DE,Bornheim
Apfelweinwirtschaft Dauth-Schneider,4b058851f964a52056be22e3,Neuer Wall 7,50.10489897464219,8.690194580592518,DE,Sachsenhausen-Nord
Zum Bitburger,4ce58eba9bbf6ea804fbc8af,Hochstr. 45,50.115199876790356,8.673083334627298,DE,Innenstadt
Apfelweinwirtschaft Adolf Wagner,4b689267f964a5209a802be3,Schweizer Str. 71,50.10046113273183,8.682030732952626,DE,Sachsenhausen-Nord
Zum Gemalten Haus,4b058851f964a52062be22e3,Schweizer Str. 67,50.1008313659805,8.682156915733083,DE,Sachsenhausen-Nord
Conrad's Restaurant,4c30830066e40f47f59ac38b,Große Eschenheimer Str. 3,50.11421072843956,8.679379803153273,DE,Innenstadt
Kanonesteppel,4bd33acd9854d13a863afd4d,Textorstr. 20,50.10259712564316,8.688446740078286,DE,Sachsenhausen-Nord
Best Worscht in Town,4b6da1aaf964a520dd812ce3,Berger Str. 80,50.12135037683177,8.697869123580963,DE,Nordend-Ost
Manufactum brot&butter,4b6aae9df964a520f5db2be3,Bockenheimer Anlage 49-50,50.11595805369511,8.670772486206868,DE,Westend-Süd
Klosterhof,4b058851f964a52053be22e3,Weißfrauenstr. 3,50.109259,8.677224,DE,Altstadt
Zum Storch am Dom,4c714f98d274b60ca201dc0d,,50.110072102124256,8.684888682105548,DE,Altstadt
Mutter Ernst,4c7ea54e1009a093fb15454e,Alte Rothofstr. 12,50.11361330670327,8.67520293499801,DE,Innenstadt
Edelweiss,4b8abaf5f964a520087d32e3,Schweizer Str. 96,50.09949691112552,8.682531508763416,DE,Sachsenhausen-Nord
Currywurst Taunus 25,4f74ceece4b0c97e39f3bf32,Taunusstraße 25,50.10942005995129,8.667503739985158,DE,Bahnhofsviertel
Schöneberger,4b672734f964a5201b3e2be3,Bergerstr. 237,50.12797550516889,8.710145163879103,DE,Bornheim
Zum Tannenbaum,4b465c1bf964a520ba1e26e3,Homburgerstr. 9,50.11879701930583,8.646328986968587,DE,Bockenheim
