ID,Likes,Listed,Photos,Price,Rating,Rating Signals,Tips
4c3b6d08def90f470beefd2d,25.0,5,86,2.0,6.1,60.0,19
5c180459a4b51b002c093a70,2.0,1,4,2.0,,,1
5b3225a7e65d0c002c94296b,7.0,1,10,2.0,5.5,21.0,6
4e9dc4dff5b95ad93faa8788,16.0,15,44,2.0,8.6,17.0,3
4cfd2a882c1aa090410e057a,43.0,136,49,2.0,8.7,59.0,16
51e6e2f6498eb1a439046503,8.0,0,21,,5.7,16.0,3
566c0cba498ec2bbb90fe3f7,11.0,6,25,,7.6,16.0,3
4c2c7ad4ae6820a1f9581943,7.0,6,6,2.0,5.8,19.0,5
52dad966498e1418f8517c52,37.0,30,34,,8.4,46.0,6
4b05884ef964a52062bd22e3,21.0,27,20,2.0,7.7,34.0,10
4b0ecc66f964a5202f5b23e3,120.0,187,121,2.0,8.5,172.0,49
4be18ea74ed5c9b61ba1ccce,293.0,260,425,2.0,8.4,433.0,97
598a1041c9a51708594f5db1,6.0,3,6,2.0,6.8,9.0,1
4f91a6c9e4b0ead198109182,3.0,1,2,2.0,5.9,8.0,2
5bd2295082a750002c9c9c5a,3.0,1,0,2.0,,,1
5d545ae73c10d10008b4deb1,0.0,1,1,,,,0
4b2781a9f964a520fc8624e3,167.0,94,200,2.0,7.2,293.0,80
4be42a2bcf200f471c8b113c,20.0,6,33,1.0,6.2,34.0,4
4c3e0c4783a3a593ef88ed33,,94,87,,8.1,128.0,36
4b2a822ef964a52087aa24e3,201.0,207,120,2.0,8.3,282.0,66
4b6ac454f964a52072df2be3,60.0,44,74,2.0,7.8,100.0,25
4b058851f964a5205fbe22e3,135.0,122,72,,8.3,191.0,37
4b058851f964a52056be22e3,96.0,62,169,2.0,8.0,129.0,24
4ce58eba9bbf6ea804fbc8af,41.0,26,31,2.0,8.1,62.0,14
4b689267f964a5209a802be3,262.0,186,422,2.0,7.8,417.0,107
4b058851f964a52062be22e3,118.0,168,191,2.0,8.3,164.0,42
4c30830066e40f47f59ac38b,39.0,3,95,2.0,6.4,72.0,17
4bd33acd9854d13a863afd4d,99.0,136,81,2.0,8.3,137.0,36
4b6da1aaf964a520dd812ce3,92.0,43,21,,8.3,132.0,30
4b6aae9df964a520f5db2be3,94.0,160,46,,8.7,119.0,19
4b058851f964a52053be22e3,109.0,127,147,2.0,7.8,169.0,42
4c714f98d274b60ca201dc0d,16.0,9,51,2.0,7.1,27.0,8
4c7ea54e1009a093fb15454e,37.0,45,42,2.0,7.9,54.0,13
4b8abaf5f964a520087d32e3,37.0,34,19,2.0,8.1,57.0,12
4f74ceece4b0c97e39f3bf32,36.0,20,21,,7.8,50.0,9
4b672734f964a5201b3e2be3,96.0,72,34,2.0,8.0,145.0,32
4b465c1bf964a520ba1e26e3,19.0,10,7,1.0,7.7,25.0,2
4c30f770a0ced13aedf4126e,16.0,4,33,,6.0,36.0,15
4b2a181ef964a52035a524e3,36.0,18,30,2.0,7.6,58.0,11
4c09618fed25952108f41256,14.0,7,14,,7.2,20.0,5
4c6fa093d7fab1f7bbfd5bc9,18.0,2,31,1.0,7.4,30.0,13
4b05884df964a52002bd22e3,96.0,51,144,2.0,7.7,138.0,26
4b2f3442f964a5202eea24e3,64.0,27,76,2.0,6.9,107.0,37
4cab654a14c337040150ea3b,24.0,16,73,2.0,7.1,44.0,16
4b2296adf964a520a34924e3,177.0,246,162,2.0,8.6,245.0,62
4bc5f3db51b376b00bb31a6f,40.0,45,55,,7.8,61.0,19
